Ensembl Gene ID,Gene Start (bp),Gene End (bp),Chromosome Name,Strand,Associated Gene Name
ENSMUSG00000102562,77685277,77687409,16,1,RP23-156A3.2
ENSMUSG00000102575,77486046,77486568,16,1,RP23-65G17.1
ENSMUSG00000048349,104461676,104467999,14,-1,Pou4f1
ENSMUSG00000067321,46414344,46414616,5,1,Gm7931
ENSMUSG00000103916,77416624,77420001,16,1,RP23-239I17.4
ENSMUSG00000078182,29538153,29538509,5,1,Gm6083
ENSMUSG00000020381,50174444,50200115,11,1,3010026O09Rik
ENSMUSG00000087613,34179232,34186392,6,1,Gm13855
ENSMUSG00000083773,28933610,28934609,2,-1,Gm13394
ENSMUSG00000086600,50042730,50053844,18,-1,C030005K06Rik
ENSMUSG00000102208,16367090,16393523,Y,1,RP24-154F7.1
ENSMUSG00000094221,21259694,21260617,7,-1,Vmn1r124
ENSMUSG00000040867,109032187,109068217,12,-1,Begain
ENSMUSG00000089800,52384659,52385093,10,-1,Rps19-ps10
ENSMUSG00000092035,4747306,4760517,6,1,Peg10
ENSMUSG00000084366,21639071,21640378,8,1,Gm15313
ENSMUSG00000103645,12594823,12595352,12,1,RP23-472H1.1
ENSMUSG00000103417,16887481,16888179,Y,-1,RP24-505O24.2
ENSMUSG00000103733,6164895,6167824,3,-1,RP23-32D13.1
ENSMUSG00000074442,21191614,21192549,8,1,Defa-rs7
ENSMUSG00000098061,109640341,109642351,12,1,Gm26945
ENSMUSG00000102265,16449293,16449989,Y,-1,RP24-474E20.6
ENSMUSG00000089956,3709804,3739044,8,1,Gm16553
ENSMUSG00000100325,46934838,46935365,Y,-1,Gm28604
ENSMUSG00000100098,51605796,51606491,Y,-1,Gm21387
ENSMUSG00000096294,9546769,9572288,7,-1,Gm10302
ENSMUSG00000096701,23350197,23427173,12,-1,Gm9285
ENSMUSG00000019370,16915379,16924114,7,-1,Calm3
ENSMUSG00000002032,44793776,44799307,9,-1,Tmem25
ENSMUSG00000084825,6617671,6674548,19,-1,2410152P15Rik
ENSMUSG00000101180,30794548,30794875,1,-1,Gm2914
ENSMUSG00000104184,18884623,18887791,11,-1,RP23-377H12.4
ENSMUSG00000095629,13219339,13220289,7,1,Vmn1r89
ENSMUSG00000099056,14965334,14965622,7,-1,Gm27250
ENSMUSG00000093557,5512995,5515333,3,-1,4930555M17Rik
ENSMUSG00000095066,21509258,21510237,8,1,Defa20
ENSMUSG00000015652,5736317,5749326,5,-1,Steap1
ENSMUSG00000086037,107129681,107132576,12,1,Gm16085
ENSMUSG00000095455,60237345,60244027,4,1,Mup-ps3
ENSMUSG00000093774,3026901,3027882,18,-1,Vmn1r-ps151
ENSMUSG00000086060,107147164,107160207,12,-1,Gm16084
ENSMUSG00000023906,23679365,23682446,17,1,Cldn6
ENSMUSG00000089779,71716849,71717817,17,-1,Gm15641
ENSMUSG00000102126,102556108,102556308,9,1,Gm29143
ENSMUSG00000095589,115208095,115208591,12,-1,Ighv1-55
ENSMUSG00000102156,89074393,89074785,9,1,RP23-136C5.6
ENSMUSG00000030835,46033698,46084212,7,1,Nomo1
ENSMUSG00000003190,44991222,44998712,7,-1,Bcl2l12
ENSMUSG00000051687,11756257,11757168,7,1,Vmn1r73
ENSMUSG00000099726,5391538,5392236,Y,1,Gm29160
ENSMUSG00000081891,60818208,60818782,X,1,Gm14660
ENSMUSG00000104264,37305535,37306791,18,1,RP23-92D17.3
ENSMUSG00000079502,28926949,29055066,2,-1,1700101E01Rik
ENSMUSG00000082099,17095490,17095644,11,-1,Gm12013
ENSMUSG00000084103,57670344,57670487,X,-1,Gm14629
ENSMUSG00000091221,4755722,4756319,14,-1,Gm3084
ENSMUSG00000100279,102559300,102570708,9,1,Gm29387
ENSMUSG00000022798,38812205,38828749,16,-1,4930435E12Rik
ENSMUSG00000103737,115224859,115225444,12,1,RP23-257D2.10
ENSMUSG00000104270,6267783,6267900,3,-1,RP24-380G11.1
ENSMUSG00000095163,22027977,22028897,7,-1,Vmn1r138
ENSMUSG00000082055,60361639,60361786,4,1,Mup-ps30
ENSMUSG00000098151,68333197,68333777,3,1,Gm10292
ENSMUSG00000059972,91155168,91155791,X,1,Gm14773
ENSMUSG00000103998,31341012,31345280,3,1,RP24-114A9.1
ENSMUSG00000083091,48745515,48745850,4,-1,Gm12438
ENSMUSG00000104308,47165042,47165507,12,1,RP24-87E7.1
ENSMUSG00000083309,4207832,4208668,7,1,Gm15926
ENSMUSG00000091421,92689426,92690158,3,1,Gm4202
ENSMUSG00000104177,12631260,12631845,3,1,RP24-356H12.1
ENSMUSG00000080710,57736547,57738555,X,-1,Gm8107
ENSMUSG00000100602,89076012,89076342,9,-1,Gm19498
ENSMUSG00000038903,69925426,69969484,18,1,Ccdc68
ENSMUSG00000091627,42697337,42699767,14,-1,Gm5929
ENSMUSG00000100655,86869360,86870055,Y,-1,Gm21462
ENSMUSG00000084871,107183555,107186734,12,1,Gm2800
ENSMUSG00000100956,65464101,65464796,Y,-1,Gm28558
ENSMUSG00000091273,17223710,17227934,5,-1,Gm6673
ENSMUSG00000090964,83102072,83105929,15,-1,Gm17206
ENSMUSG00000093649,20436038,20443382,16,1,Gm20614
ENSMUSG00000036959,48341358,48408049,X,1,Bcorl1
ENSMUSG00000076776,52835840,52836386,14,1,Trav7d-5
ENSMUSG00000058207,104338486,104346144,12,1,Serpina3k
ENSMUSG00000103828,19005607,19006473,11,-1,RP23-137B16.3
ENSMUSG00000092148,42434156,42439673,14,-1,Gm8005
ENSMUSG00000101670,86943624,86944319,Y,-1,Gm21470
ENSMUSG00000084908,34287771,34304440,2,1,C79798
ENSMUSG00000047824,89430214,89435128,3,1,Pygo2
ENSMUSG00000002608,25711106,25719088,7,-1,Ccdc97
ENSMUSG00000104244,18888261,18889840,11,-1,RP23-377H12.5
ENSMUSG00000099917,23075792,23076694,13,1,Vmn1r215
ENSMUSG00000084925,20546079,20570687,14,1,1810062O18Rik
ENSMUSG00000093444,3080778,3081476,18,-1,Vmn1r-ps152
ENSMUSG00000032020,41011098,41161697,9,-1,Ubash3b
ENSMUSG00000087507,19013817,19015154,11,1,Gm16141
ENSMUSG00000091430,12787985,12794285,12,1,Gm17337
ENSMUSG00000070873,4237754,4243463,7,1,Lilra5
ENSMUSG00000045761,71673261,71729669,17,1,Fam179a
ENSMUSG00000101086,32685648,32687516,14,1,Gm28651
ENSMUSG00000087165,57795499,57801417,11,-1,2010001A14Rik
ENSMUSG00000026735,19445663,19447501,2,1,Ptf1a
ENSMUSG00000079162,89084624,89092835,9,-1,Trim43b
ENSMUSG00000079022,71795795,72034227,15,-1,Col22a1
ENSMUSG00000069270,23683449,23683924,13,-1,Hist1h2ac
ENSMUSG00000103897,37725706,37841873,18,1,PCDHGB6
ENSMUSG00000104490,16485909,16486602,Y,-1,RP24-474E20.5
ENSMUSG00000091307,103867846,103881511,12,-1,Gm8895
ENSMUSG00000057799,23099149,23100045,13,1,Vmn1r216
ENSMUSG00000090067,22479934,22480446,9,-1,Gm2976
ENSMUSG00000093381,20488788,20491147,16,1,Gm20615
ENSMUSG00000025911,9547948,9580673,1,1,Adhfe1
ENSMUSG00000087500,47197487,47208459,4,-1,Gm12426
ENSMUSG00000099525,35569482,35570159,Y,1,Gm21872
ENSMUSG00000103474,13210161,13213395,Y,-1,RP24-334J15.6
ENSMUSG00000104323,16037793,16038428,11,1,RP23-155D19.1
ENSMUSG00000068889,92707401,92709074,3,-1,Lce1e
ENSMUSG00000047733,6080033,6080788,19,1,BC048609
ENSMUSG00000091656,20267547,20285430,17,-1,Vmn2r106
ENSMUSG00000026051,43730602,43742578,1,1,1500015O10Rik
ENSMUSG00000083902,55624188,55625593,5,1,Gm15975
ENSMUSG00000091539,3122492,3123412,18,-1,Vmn1r238
ENSMUSG00000079424,95305815,95343917,5,1,Gm3259
ENSMUSG00000081444,38813990,38814383,16,1,Gm15803
ENSMUSG00000093405,65861006,65861992,7,-1,Gm20684
ENSMUSG00000101631,51391153,51391845,Y,-1,Gm20884
ENSMUSG00000063514,36920396,36922015,18,1,Gm6756
ENSMUSG00000082410,16236929,16237546,11,1,Gm12011
ENSMUSG00000089958,22669734,22670528,9,-1,Gm16165
ENSMUSG00000099798,86840030,86840716,17,1,Gm29168
ENSMUSG00000087085,24426246,24722646,11,1,Gm12068
ENSMUSG00000100048,46970283,46970978,Y,1,Gm28603
ENSMUSG00000074282,24301704,24316666,7,-1,Zfp94
ENSMUSG00000089909,22677851,22678318,9,-1,Gm16164
ENSMUSG00000025008,40596446,40612233,19,-1,Tctn3
ENSMUSG00000073103,24721006,24730722,11,-1,Gm10466
ENSMUSG00000071343,33808497,33809498,10,-1,Gm10327
ENSMUSG00000072049,124127339,124135910,X,-1,Vmn2r121
ENSMUSG00000098304,36668856,36693189,9,-1,1700027I24Rik
ENSMUSG00000096920,108055495,108055916,5,-1,Rps19-ps8
ENSMUSG00000100621,6076945,6082256,19,-1,Gm28374
ENSMUSG00000067613,101485131,101491512,15,-1,5430421N21Rik
ENSMUSG00000061544,21730795,21769342,17,1,Zfp229
ENSMUSG00000061150,20814495,20815415,17,1,Vmn1r229
ENSMUSG00000001175,100199435,100209806,12,1,Calm1
ENSMUSG00000097086,22046114,22046985,10,-1,Gm7672
ENSMUSG00000050919,99184823,99247037,13,1,Zfp366
ENSMUSG00000100544,75653226,75656465,Y,1,Gm28606
ENSMUSG00000062878,86488551,86489549,7,-1,Olfr298
ENSMUSG00000096122,57531412,57533744,Y,-1,Gm21943
ENSMUSG00000022346,61985341,61990374,15,1,Myc
ENSMUSG00000082362,107205076,107206066,12,-1,Gm5187
ENSMUSG00000082555,80440398,80440881,4,1,Gm11406
ENSMUSG00000100036,89473657,89474348,Y,-1,Gm28671
ENSMUSG00000097586,22281454,22281736,10,-1,Gm26528
ENSMUSG00000046615,46329007,46330345,X,1,Actrt1
ENSMUSG00000099710,56341246,56346942,5,1,Gm28708
ENSMUSG00000095803,20882380,20883115,8,-1,Gm20796
ENSMUSG00000037197,11585437,11604153,2,-1,Rbm17
ENSMUSG00000047390,21881713,21885421,8,-1,Defb9
ENSMUSG00000035829,28446800,28455508,2,1,Ppp1r26
ENSMUSG00000094149,22228564,22229484,7,-1,Gm8453
ENSMUSG00000097053,22224280,22253819,10,1,Gm1972
ENSMUSG00000085772,31790113,31824524,11,-1,D630024D03Rik
ENSMUSG00000099355,61808456,61811695,Y,1,Gm29342
ENSMUSG00000103805,77476934,77480453,16,1,RP23-239I17.7
ENSMUSG00000020224,120227070,120232071,10,1,Llph
ENSMUSG00000096333,73901907,73905953,4,-1,Gm13871
ENSMUSG00000096283,22050599,22051504,7,-1,Gm6176
ENSMUSG00000102267,77654531,77655438,16,1,RP23-156A3.1
ENSMUSG00000024797,6067842,6080324,19,-1,Vps51
ENSMUSG00000074491,3707064,3720651,8,-1,Clec4g
ENSMUSG00000023873,8988333,9008319,17,1,1700010I14Rik
ENSMUSG00000102028,75372463,75377269,15,-1,Gm3142
ENSMUSG00000102344,77419251,77421820,16,-1,RP23-239I17.5
ENSMUSG00000081202,9575836,9576343,2,1,Gm13220
ENSMUSG00000055602,13061104,13082481,17,1,Tcp10b
ENSMUSG00000066152,62262562,62298411,4,1,Slc31a2
ENSMUSG00000032023,40894849,40964118,9,-1,4931429I11Rik
ENSMUSG00000084085,19009128,19011183,11,1,Gm16140
ENSMUSG00000047652,77511178,77511748,5,-1,Pea15b
ENSMUSG00000031273,141165403,141474076,X,-1,Col4a6
ENSMUSG00000103688,15891466,15892555,3,-1,RP24-176A1.1
ENSMUSG00000083949,122187748,122206656,4,1,Gm12897
ENSMUSG00000085002,135307349,135309519,4,1,Gm12984
ENSMUSG00000068950,36376778,36377698,2,1,Olfr338
ENSMUSG00000083867,122234979,122235917,4,1,Gm12893
ENSMUSG00000082833,135307781,135307970,4,-1,Gm12982
ENSMUSG00000085275,30534729,30539022,2,1,Gm14487
ENSMUSG00000096654,60384494,60384695,4,1,Mup-ps29
ENSMUSG00000084826,129158666,129180667,2,-1,AI847159
ENSMUSG00000103277,176179201,176181635,1,1,RP23-357C20.1
ENSMUSG00000103440,65863269,65864829,3,-1,RP23-251B16.1
ENSMUSG00000102592,3752010,3754360,1,1,RP23-122M2.1
ENSMUSG00000093726,67673177,67675106,14,-1,Gm20667
ENSMUSG00000097250,83773853,83789956,3,-1,Gm26771
ENSMUSG00000062210,49979427,50107173,18,1,Tnfaip8
ENSMUSG00000083101,36389132,36389419,2,1,Gm13430
ENSMUSG00000037169,12936096,12941914,12,-1,Mycn
ENSMUSG00000083365,122455210,122455435,4,1,Gm12895
ENSMUSG00000093485,117809668,117839904,11,1,Gm20708
ENSMUSG00000081296,51175225,51175822,11,-1,Gm12203
ENSMUSG00000063522,74876987,74897021,15,-1,2010109I03Rik
ENSMUSG00000038181,24586741,24594395,5,1,Chpf2
ENSMUSG00000094862,115242802,115243235,12,-1,Ighv1-56
ENSMUSG00000102242,61291155,61291446,3,-1,RP23-20E4.2
ENSMUSG00000104363,176031079,176032723,1,-1,RP24-375D13.1
ENSMUSG00000086482,117213334,117213782,4,-1,1700012C08Rik
ENSMUSG00000046807,75550125,75560330,10,-1,Lrrc75b
ENSMUSG00000063929,115600969,115621602,4,1,Cyp4a32
ENSMUSG00000046203,92373915,92375229,3,1,Sprr2g
ENSMUSG00000050108,85959340,86011895,10,-1,Bpifc
ENSMUSG00000101690,11763935,11764634,Y,-1,Gm28390
ENSMUSG00000101170,61789649,61815122,Y,-1,Gm29343
ENSMUSG00000082384,48807137,48807391,4,1,Gm12437
ENSMUSG00000086646,51189833,51220418,11,-1,5133400J02Rik
ENSMUSG00000086043,43631539,43641533,4,-1,Gm12473
ENSMUSG00000099087,14991920,14992298,7,-1,Gm27261
ENSMUSG00000067063,56754999,56755346,19,-1,Gm6990
ENSMUSG00000068614,114047282,114053548,2,-1,Actc1
ENSMUSG00000092261,21533627,21533985,9,-1,Gm20519
ENSMUSG00000025780,10153571,10256529,2,1,Itih5
ENSMUSG00000075046,58230654,58232673,10,-1,4933403O03Rik
ENSMUSG00000084787,48898593,48963237,4,1,Gm12436
ENSMUSG00000093567,15007074,15007787,7,1,Gm3959
ENSMUSG00000042712,136245079,136247139,X,1,Wbp5
ENSMUSG00000103112,16614136,16614828,Y,-1,RP24-355N14.2
ENSMUSG00000079523,72957347,72958748,6,-1,Tmsb10
ENSMUSG00000103439,115244185,115244553,12,-1,RP23-354D10.2
ENSMUSG00000036181,23738808,23740367,13,1,Hist1h1c
ENSMUSG00000023046,102144362,102149511,15,1,Igfbp6
ENSMUSG00000101337,46425592,46807476,1,1,Dnah7c
ENSMUSG00000073926,104579624,104580669,7,1,Olfr653
ENSMUSG00000102205,77413643,77414916,16,1,RP23-239I17.3
ENSMUSG00000083450,42347512,42347679,X,1,Gm14619
ENSMUSG00000086326,148356379,148359460,4,-1,Gm13200
ENSMUSG00000086519,29088666,29094501,2,1,Gm13393
ENSMUSG00000094464,36421400,36422329,2,1,Olfr339
ENSMUSG00000078184,175977777,175979114,1,-1,B020018G12Rik
ENSMUSG00000043439,97627389,97629702,11,-1,E130012A19Rik
ENSMUSG00000061356,65598546,65648531,14,1,Nuggc
ENSMUSG00000087442,173025685,173034580,2,-1,Gm14453
ENSMUSG00000085653,75368212,75375012,1,-1,Gm15179
ENSMUSG00000086892,24481909,24569952,11,1,4933430M04Rik
ENSMUSG00000102434,36029647,36031018,1,-1,RP24-424K5.2
ENSMUSG00000066324,4762484,4793355,4,-1,Impad1
ENSMUSG00000100667,61102247,61134259,Y,1,Gm21563
ENSMUSG00000092596,173022503,173022956,2,-1,Gm20490
ENSMUSG00000050192,28781276,28798846,3,1,Eif5a2
ENSMUSG00000074203,84723007,84726844,8,1,G430095P16Rik
ENSMUSG00000085715,103431517,103484957,X,1,Tsix
ENSMUSG00000100096,55835360,55836095,13,-1,Gm28760
ENSMUSG00000067704,164685107,164687706,2,1,Wfdc13
ENSMUSG00000019872,57794335,57811830,10,1,Smpdl3a
ENSMUSG00000080241,37625647,37626097,X,-1,Dppa3-ps
ENSMUSG00000092603,110738350,110738481,6,1,Gm20386
ENSMUSG00000044058,78473885,78474735,5,1,Mthfr-ps1
ENSMUSG00000078491,151089570,151091449,4,1,Gm13090
ENSMUSG00000100391,88430978,88431592,Y,-1,Gm28978
ENSMUSG00000084311,75128712,75129026,4,1,Gm11257
ENSMUSG00000081767,24552438,24553962,11,-1,Gm12067
ENSMUSG00000081512,34211312,34214459,17,-1,Gm15821
ENSMUSG00000085586,97644184,97660367,11,-1,Gm11613
ENSMUSG00000101842,11777111,11777489,Y,-1,Gm28391
ENSMUSG00000092203,34950238,34952471,17,-1,1110038B12Rik
ENSMUSG00000029866,41686330,41704339,6,-1,Kel
ENSMUSG00000035293,51348061,51376986,12,1,G2e3
ENSMUSG00000100635,43742915,43743526,1,1,Gm29157
ENSMUSG00000090535,22040701,22048512,10,-1,Gm8540
ENSMUSG00000102321,32539028,32542440,1,1,RP24-390L20.5
ENSMUSG00000057191,21526176,21545333,9,1,AB124611
ENSMUSG00000086503,103460375,103483217,X,-1,Xist
ENSMUSG00000100764,43741961,43743895,1,-1,Gm29155
ENSMUSG00000095064,21832351,21833274,7,1,Vmn1r135
ENSMUSG00000048772,117251951,117268582,4,1,Tmem53
ENSMUSG00000070509,73375520,73419899,7,1,Rgma
ENSMUSG00000089806,81589435,81589870,12,-1,Gm16570
ENSMUSG00000030603,28041707,28050101,7,-1,Psmc4
ENSMUSG00000091408,136486122,136487186,6,-1,Gm6728
ENSMUSG00000051648,105382807,105413502,8,-1,Kctd19
ENSMUSG00000028647,123904832,123912269,4,1,Mycbp
ENSMUSG00000093798,14745362,14746117,10,-1,Gm8355
ENSMUSG00000006998,20651652,20663414,16,1,Psmd2
ENSMUSG00000059645,26257691,26264308,5,1,Gm7361
ENSMUSG00000097237,105401245,105406970,5,1,Gm26519
ENSMUSG00000066677,173673675,173698392,1,1,Pydc3
ENSMUSG00000066626,57334128,57334754,9,1,Gm5121
ENSMUSG00000099709,51680531,51681223,Y,-1,Gm21396
ENSMUSG00000046321,121392296,121501768,7,1,Hs3st2
ENSMUSG00000028020,80843599,80913660,3,-1,Glrb
ENSMUSG00000051306,143710325,143732280,5,-1,Usp42
ENSMUSG00000097035,107659097,107688015,5,-1,Gm26692
ENSMUSG00000086020,55772088,56070848,11,1,Gm12239
ENSMUSG00000104498,32485315,32486942,1,1,RP23-109J14.3
ENSMUSG00000075092,89325243,89326178,2,-1,Olfr1232
ENSMUSG00000099613,51408969,51410551,Y,1,Gm28313
ENSMUSG00000047363,30595040,30608943,2,1,Cstad
ENSMUSG00000087230,136181474,136207097,1,-1,Mroh3
ENSMUSG00000095338,70588189,70588777,6,1,Igkv3-9
ENSMUSG00000095850,125004163,125004660,X,1,Gm17361
ENSMUSG00000021506,55825051,55836192,13,-1,Pitx1
ENSMUSG00000097489,109922649,109923481,5,-1,Gm26808
ENSMUSG00000073943,103682720,103683685,7,1,Olfr625-ps1
ENSMUSG00000102865,32519563,32520999,1,-1,RP24-390L20.1
ENSMUSG00000068815,87802391,87803335,2,1,Olfr1143
ENSMUSG00000042364,113592180,113618564,13,-1,Snx18
ENSMUSG00000095034,123246440,123246907,X,-1,Gm17577
ENSMUSG00000097863,109995511,109996398,5,-1,1010001B22Rik
ENSMUSG00000086521,118672609,118673522,4,-1,Olfr1343-ps1
ENSMUSG00000091216,43713383,43715573,14,1,Gm17208
ENSMUSG00000084196,122592984,122594068,4,1,Gm12874
ENSMUSG00000092062,62528210,62528959,13,-1,Gm7664
ENSMUSG00000082274,129168700,129170488,2,1,Gm14026
ENSMUSG00000076594,70457501,70457787,6,-1,Igkv6-13
ENSMUSG00000090244,81587799,81589640,12,1,Gm16572
ENSMUSG00000037393,56024987,56041010,11,-1,Nmur2
ENSMUSG00000097367,110259163,110269847,5,1,Gm26718
ENSMUSG00000045048,56655949,56656889,10,1,Gm9795
ENSMUSG00000102154,165848155,165849044,1,-1,RP23-36P10.9
ENSMUSG00000081377,122582700,122604894,4,-1,Gm12877
ENSMUSG00000029029,154142372,154167420,4,1,Wrap73
ENSMUSG00000100988,66158903,66169041,Y,1,CH36-169F23.5
ENSMUSG00000039962,38488031,38488966,9,1,Olfr906
ENSMUSG00000056755,110645581,111567230,6,1,Grm7
ENSMUSG00000097904,110385835,110388073,5,1,Gm26711
ENSMUSG00000096256,42033017,42034726,4,-1,Gm21093
ENSMUSG00000021062,76797960,76822908,12,-1,Rab15
ENSMUSG00000102363,165844047,165844608,1,-1,RP23-36P10.11
ENSMUSG00000054497,131629823,131630912,6,-1,Tas2r130
ENSMUSG00000097152,110779882,110781127,5,1,Gm26515
ENSMUSG00000075012,102449366,102452499,2,-1,Fjx1
ENSMUSG00000097163,117312520,117315539,5,-1,BC051077
ENSMUSG00000086652,129182482,129183947,2,-1,Gm14029
ENSMUSG00000102388,69321132,69331861,Y,1,CH36-86D6.3
ENSMUSG00000052154,72914296,72914942,5,-1,Gm9870
ENSMUSG00000095765,50485460,50486395,14,1,Olfr741
ENSMUSG00000082227,87808364,87808676,2,-1,Olfr1144-ps1
ENSMUSG00000095316,21174439,21175653,X,-1,Gm21876
ENSMUSG00000080832,99500550,99501379,3,1,M6pr-ps
ENSMUSG00000021549,85214780,85289029,13,-1,Rasa1
ENSMUSG00000033126,76459569,76469114,10,-1,Ybey
ENSMUSG00000097368,120121103,120139263,5,-1,Gm10390
ENSMUSG00000103532,129196086,129197126,2,-1,RP23-160G19.9
ENSMUSG00000091764,69659263,69664170,8,1,Zfp964
ENSMUSG00000031438,139563316,139673145,X,1,Rnf128
ENSMUSG00000097213,123047373,123230871,5,-1,Gm26745
ENSMUSG00000100079,88690302,88691359,4,-1,Ifnab
ENSMUSG00000040009,74967177,75016907,10,1,Gnaz
ENSMUSG00000094962,55461985,55472210,3,-1,Gm21954
ENSMUSG00000090539,4776337,4785002,14,1,Gm9602
ENSMUSG00000095236,42762054,42763007,6,1,Olfr38
ENSMUSG00000086194,21354005,21355116,1,1,Gm16329
ENSMUSG00000046242,99456207,99474751,9,1,1600029I14Rik
ENSMUSG00000069379,51865264,51865881,18,-1,Gm4950
ENSMUSG00000083938,99544408,99545062,3,-1,Gm12448
ENSMUSG00000043939,48151896,48167270,17,-1,A530064D06Rik
ENSMUSG00000062518,147673502,147702553,4,-1,Zfp534
ENSMUSG00000068200,10660522,10660998,X,1,Gm5931
ENSMUSG00000091037,90917643,90917914,2,1,Gm17661
ENSMUSG00000093470,23736847,23740357,11,-1,Gm20645
ENSMUSG00000082019,166935469,166935915,X,1,Gm15231
ENSMUSG00000097908,136919146,136937112,5,1,4933404O12Rik
ENSMUSG00000060397,12881177,12893422,7,1,Zfp128
ENSMUSG00000097018,106465800,106471007,5,-1,Gm26872
ENSMUSG00000020387,51813455,51857653,11,-1,Jade2
ENSMUSG00000061833,75954352,75955016,13,1,Gm6311
ENSMUSG00000090386,77236317,77691403,16,1,Mir99ahg
ENSMUSG00000027709,35959311,36000678,3,-1,Mccc1
ENSMUSG00000082090,13238327,13239553,X,1,Gm16481
ENSMUSG00000097559,142874077,142878373,5,-1,D430018E03Rik
ENSMUSG00000029650,147878437,147894815,5,-1,Slc46a3
ENSMUSG00000073960,103051300,103052259,7,1,Olfr583
ENSMUSG00000100737,42079731,42080426,Y,-1,Gm21774
ENSMUSG00000068814,87809822,87810799,2,1,Olfr1145
ENSMUSG00000102275,4778063,4779212,1,-1,RP23-34E15.5
ENSMUSG00000047228,128539822,128581606,6,-1,BC048546
ENSMUSG00000025410,127266262,127281959,10,1,Dctn2
ENSMUSG00000100239,8344310,8345010,Y,-1,Gm28146
ENSMUSG00000097287,143758325,143767130,5,1,D130017N08Rik
ENSMUSG00000024767,7198202,7206316,19,-1,Otub1
ENSMUSG00000001288,102234938,102257517,15,-1,Rarg
ENSMUSG00000071984,7738569,7827302,17,-1,Fndc1
ENSMUSG00000025574,117815526,117826092,11,-1,Tk1
ENSMUSG00000036256,77349240,77408045,5,-1,Igfbp7
ENSMUSG00000100714,13234641,13247736,X,-1,2010308F09Rik
ENSMUSG00000097228,147399554,147401917,5,1,Gm26597
ENSMUSG00000043911,38815408,38816539,9,1,Olfr922
ENSMUSG00000015342,9272756,9313250,X,1,Xk
ENSMUSG00000024597,57878678,57946821,18,1,Slc12a2
ENSMUSG00000085534,28005050,28047399,X,1,Gm2117
ENSMUSG00000085593,151376470,151379582,4,1,4930589P08Rik
